species,life_history,elevation_mean,bio1_mean,bio2_mean,bio3_mean,bio4_mean,bio5_mean,bio6_mean,bio7_mean,bio8_mean,bio9_mean,bio10_mean,bio11_mean,bio12_mean,bio13_mean,bio14_mean,bio15_mean,bio16_mean,bio17_mean,bio18_mean,bio19_mean
Calandrinia_affinis,Perennial,2900.941176,40.76470588,138.8235294,57.76470588,3840.352941,172.7058824,-66.23529412,238.9411765,85.35294118,85.35294118,89.70588235,-8.117647059,467.1176471,100.0588235,5.882352941,82.23529412,263.3529412,22.82352941,24.11764706,248.5294118
Calandrinia_caespitosa,Perennial,2761.56,29.12,131.16,55.08,3962.04,157.64,-77.8,235.44,69.12,69.12,79.04,-22,459.04,82.36,13.56,59.44,218.8,47,50.52,200.8
Calandrinia_colchaguensis,Perennial,1890.4,52.1,136.5,56,3936.4,199.1,-43.1,242.2,103.6,103.6,103.6,2.7,1101,209.1,20.9,72.2,575.1,80.9,80.9,552.9
Calandrinia_compacta,Perennial,3745.142857,51.38095238,148.7142857,64.71428571,3022.809524,162.8095238,-66.52380952,229.3333333,50.57142857,50.57142857,86.61904762,9.904761905,164.7619048,37.9047619,3.142857143,82.14285714,95.19047619,11.42857143,56.23809524,48.9047619
Calyptridium_arizonicum,Annual,767.725,174.425,164.825,56.575,4670,331.625,41.875,289.75,190.175,190.175,239.725,119.725,194.4,32.55,0.7,64.275,87.35,6.175,47.35,81.1
Calyptridium_hesseae,Annual,1008.722222,120.2777778,156.2777778,52.94444444,4930.944444,293.8888889,-0.111111111,294,184.7777778,184.7777778,187.9444444,66.38888889,697.2222222,130.9444444,1.5,85.61111111,361.6111111,8.055555556,17.05555556,358
Calyptridium_monandrum,Annual,982.3412112,151.0790251,150.8463811,46.77104874,6144.06647,329.4837518,7.91506647,321.5686854,207.689808,207.689808,233.7651403,78.79985229,387.0531758,70.39217134,2.336041359,71.1816839,195.05613,16.3183161,37.22895126,183.7163959
Calyptridium_monospermum,Perennial,1886.499142,75.37392796,138.3756432,45.63979417,5765.538593,250.1903945,-49.97427101,300.1646655,145.5986278,145.5986278,153.3567753,10.44596913,978.7221269,173.64494,7.433962264,73.84391081,481.3053173,40.18524871,54.76672384,470.5214408
Calyptridium_nevadense,Annual,2196.710526,81.31578947,151.3684211,42.02631579,7159.289474,279,-77.76315789,356.7631579,123.0263158,123.0263158,177.1842105,-4.236842105,263.7368421,36.5,9.763157895,35.02631579,99.13157895,39.63157895,48.10526316,97.15789474
Calyptridium_parryi,Annual,1888.411215,97.90654206,145.271028,46.86915888,5867.485981,270.4485981,-36.92523364,307.3738318,150.953271,150.953271,177.4672897,31.34579439,599.4018692,104.5514019,4.299065421,70.87850467,295.6448598,32.93457944,53.6728972,287.3551402
Calyptridium_pulchellum,Annual,720.8181818,145.2727273,154.3636364,44.90909091,6620.272727,342.0909091,2,340.0909091,232.5454545,232.5454545,232.8181818,67.45454545,747,137.8181818,1.727272727,81.90909091,379.7272727,10.72727273,16.63636364,379
Calyptridium_pygmaeum,Annual,2491.428571,64.04761905,141.4761905,46.04761905,5758.047619,234.1904762,-67.61904762,301.8095238,118.7142857,118.7142857,141.6666667,-1.047619048,670.2857143,115.5238095,6.952380952,69.85714286,324.5714286,44.9047619,58.19047619,319.4285714
Calyptridium_roseum,Annual,2045.458647,67.48120301,160.3082707,43.12781955,7159.030075,274,-94.54135338,368.5413534,130.8796992,130.8796992,162.9172932,-19.36090226,307.8496241,44.30827068,12.39849624,37.94736842,119.7218045,44.71428571,50.20300752,115.0451128
Calyptridium_umbellatum,Perennial,2114.353035,41.50479233,138.278754,42.46805112,6347.194089,228.3186901,-93.86102236,322.1797125,116.6565495,116.6565495,126.5023962,-32.55191693,877.4400958,140.7771565,17.30031949,54.17971246,394.221246,71.78514377,81.72763578,372.8019169
Cistanthe_cachinalensis,Annual,1328.125,112.375,119.125,59.375,2901.875,216.25,17.625,198.625,145.875,145.875,149.625,76.125,98,25.875,1,103.375,59.75,3.75,4,55.25
Cistanthe_cephalophora,Annual,661.4,171.6,103.4,57.2,2528.2,262,84,178,204.2,204.2,204.2,138.8,26.4,7.8,0,93.6,19.4,0,0,18.6
Cistanthe_coquimbensis,Annual,514,140.7272727,101.1818182,55.36363636,2767.454545,234.1818182,53.54545455,180.6363636,174.8181818,174.8181818,176.8181818,106.0909091,114.0909091,34.27272727,0,113.8181818,80.36363636,0.272727273,0.636363636,79.72727273
Cistanthe_crassifolia,Perennial,369.6666667,169,104.3333333,56,2856.333333,266,82.33333333,183.6666667,205.3333333,205.3333333,206,133,97,26.33333333,0,116.6666667,65.33333333,0,0,64.33333333
Cistanthe_frigida,Perennial,3606.2,22.6,141.6,59.8,3604.2,145.6,-88.8,234.4,51.8,51.8,67,-24.4,293,65.2,3.8,96,167.2,14.4,22.4,145.6
Cistanthe_grandiflora,Perennial,907.0540541,131.5405405,133,56.72972973,3638.189189,260.1891892,27.10810811,233.0810811,175.2162162,175.2162162,178.5945946,85.16216216,401.7837838,97.91891892,1.594594595,101.2432432,253.4594595,8.675675676,9.027027027,244.8108108
Cistanthe_laxiflora,Perennial,36,153,110.75,59.25,2762,252.75,66.75,186,186.25,186.25,188.5,117.5,285.75,74.25,0,106.25,190.25,1.25,1.25,188.5
Cistanthe_aff_longiscapa,Annual,754.2051282,148.4102564,104.5384615,57.48717949,2648.230769,241.6153846,62.02564103,179.5897436,181.025641,181.025641,182.4615385,114.8461538,66.15384615,19.56410256,0.153846154,104.8461538,46.53846154,0.58974359,0.666666667,45.66666667
Cistanthe_maritima,Annual,151.676259,178.6402878,132.0863309,57.05755396,3453.273381,297.0431655,69.64748201,227.3956835,199.1438849,199.1438849,227.3021583,138.3381295,204.8561151,40.89928058,0.208633094,82.25179856,112.3597122,2.712230216,13.75539568,107.3381295
Cistanthe_mucronulata,Perennial,1442.714286,91.57142857,146.1428571,54.71428571,4365.714286,244.5714286,-21.14285714,265.7142857,146.5714286,146.5714286,148.8571429,36,964.7142857,209.1428571,9.714285714,88.42857143,568.5714286,36.71428571,37.71428571,528.7142857
Cistanthe_paniculata,Perennial,930.625,181.1875,137.5,57.75,3881.125,303.8125,59.75,244.0625,193.75,193.75,230.875,132,201.4375,51.25,1.8125,73,124,9.8125,110.875,32.5
Cistanthe_picta,Perennial,2796.272727,58.63636364,137.1818182,59.25,3536.909091,181.1590909,-49.72727273,230.8863636,83.54545455,83.54545455,103.4090909,13.18181818,287.9772727,60.02272727,4.931818182,74.38636364,154.8181818,19.40909091,27.36363636,140.25
Lenzia_chamaepitys,Perennial,3491.875,33.25,140.125,62.5,3186.5,149.625,-75.125,224.75,39.125,39.125,74.125,-7.625,199.25,39.5,5,53.625,100.25,17.5,29.625,86.75
Lewisiopsis_tweedyi,Perennial,987.4347826,55.19565217,118.6521739,34.97826087,7488.326087,245.5434783,-88.69565217,334.2391304,150.1956522,150.1956522,151.3913043,-39.52173913,769.0869565,135.3043478,16.17391304,62.04347826,380.8695652,69.76086957,71.23913043,349.8695652
Montiopsis_andicola,Perennial,2971.764706,37.64705882,137.8235294,56,4069.470588,172,-71.76470588,243.7647059,88.17647059,88.17647059,88.82352941,-14.29411765,464,104.7058824,5.352941176,86,263.7058824,21,21,244.5882353
Montiopsis_berteroana,Annual,1254.254545,88.41818182,140.6363636,54.4,4328.690909,241.3818182,-14.63636364,256.0181818,144.5272727,144.5272727,145,33.83636364,968.2,186.9636364,18.76363636,74.09090909,514.2727273,68.8,69.25454545,484.6363636
